# angle_Ankle
x,y
-1.026000,6.737376
-1.024000,6.180866
-1.022000,5.706864
-1.020000,5.404386
-1.018000,4.429032
-1.016000,3.808507
-1.014000,3.107972
-1.012000,2.490015
-1.010000,1.910774
-1.008000,1.313767
-1.006000,0.693594
-1.004000,0.039770
-1.002000,-0.644958
-1.000000,-1.361032
-0.998000,-2.105762
-0.996000,-2.874468
-0.994000,-3.662417
-0.992000,-4.465310
-0.990000,-5.278810
-0.988000,-6.096311
-0.986000,-6.921859
-0.984000,-7.748631
-0.982000,-7.414876
-0.980000,-7.075719
-0.978000,-6.756568
-0.976000,-6.445155
-0.974000,-6.146864
-0.972000,-5.859122
-0.970000,-5.584536
-0.968000,-5.322485
-0.966000,-5.069969
-0.964000,-4.824078
-0.962000,-4.586908
-0.960000,-4.276074
-0.958000,-4.056836
-0.956000,-3.845433
-0.954000,-3.641596
-0.952000,-3.444346
-0.950000,-3.253610
-0.948000,-3.069898
-0.946000,-2.891888
-0.944000,-2.721028
-0.942000,-2.555275
-0.940000,-2.391071
-0.938000,-2.232690
-0.936000,-2.080690
-0.934000,-1.933368
-0.932000,-1.791033
-0.930000,-1.653172
-0.928000,-1.523115
-0.926000,-1.397799
-0.924000,-1.272291
-0.922000,-1.149329
-0.920000,-1.030276
-0.918000,-0.914765
-0.916000,-0.800756
-0.914000,-0.690478
-0.912000,-0.581661
-0.910000,-0.475583
-0.908000,-0.370636
-0.906000,-0.269067
-0.904000,-0.170489
-0.902000,-0.076253
-0.900000,0.014594
-0.898000,0.101167
-0.896000,0.183492
-0.894000,0.261640
-0.892000,0.336031
-0.890000,0.406793
-0.888000,0.475783
-0.886000,0.539397
-0.884000,0.598672
-0.882000,0.652943
-0.880000,0.702522
-0.878000,0.747332
-0.876000,0.787696
-0.874000,0.823622
-0.872000,0.855629
-0.870000,0.884023
-0.868000,0.910579
-0.866000,0.931982
-0.864000,0.948880
-0.862000,0.961201
-0.860000,0.969476
-0.858000,0.973996
-0.856000,0.975202
-0.854000,0.973411
-0.852000,0.969156
-0.850000,0.962828
-0.848000,0.955649
-0.846000,0.946035
-0.844000,0.934305
-0.842000,0.920737
-0.840000,0.942795
-0.838000,0.916138
-0.836000,0.896649
-0.834000,0.882160
-0.832000,0.865665
-0.830000,0.850114
-0.828000,0.834751
-0.826000,0.818979
-0.824000,0.802064
-0.822000,0.785203
-0.820000,0.767968
-0.818000,0.751408
-0.816000,0.735144
-0.814000,0.720029
-0.812000,0.705695
-0.810000,0.692816
-0.808000,0.680786
-0.806000,0.651343
-0.804000,0.637088
-0.802000,0.627368
-0.800000,0.616944
-0.798000,0.610010
-0.796000,0.603194
-0.794000,0.598243
-0.792000,0.594498
-0.790000,0.593967
-0.788000,0.594757
-0.786000,0.595923
-0.784000,0.596967
-0.782000,0.600261
-0.780000,0.604337
-0.778000,0.610300
-0.776000,0.617874
-0.774000,0.628847
-0.772000,0.641254
-0.770000,0.655776
-0.768000,0.671955
-0.766000,0.690176
-0.764000,0.708539
-0.762000,0.727527
-0.760000,0.749534
-0.758000,0.773122
-0.756000,0.798474
-0.754000,0.827341
-0.752000,0.857836
-0.750000,0.889761
-0.748000,0.924529
-0.746000,0.959666
-0.744000,0.995445
-0.742000,1.032749
-0.740000,1.065899
-0.738000,1.105186
-0.736000,1.150174
-0.734000,1.197487
-0.732000,1.246460
-0.730000,1.298134
-0.728000,1.350363
-0.726000,1.403920
-0.724000,1.458894
-0.722000,1.516037
-0.720000,1.575704
-0.718000,1.638516
-0.716000,1.704207
-0.714000,1.772526
-0.712000,1.842866
-0.710000,1.915094
-0.708000,1.988746
-0.706000,2.063326
-0.704000,2.138371
-0.702000,2.214931
-0.700000,2.293565
-0.698000,2.375255
-0.696000,2.459592
-0.694000,2.546444
-0.692000,2.635040
-0.690000,2.725329
-0.688000,2.817095
-0.686000,2.909345
-0.684000,3.001791
-0.682000,3.095476
-0.680000,3.190646
-0.678000,3.181999
-0.676000,3.280681
-0.674000,3.386648
-0.672000,3.493017
-0.670000,3.601558
-0.668000,3.711657
-0.666000,3.994872
-0.664000,4.104749
-0.662000,4.181935
-0.660000,4.288686
-0.658000,4.400844
-0.656000,4.512866
-0.654000,4.626464
-0.652000,4.741041
-0.650000,4.857047
-0.648000,4.975125
-0.646000,5.096054
-0.644000,5.219570
-0.642000,5.344566
-0.640000,5.470242
-0.638000,5.596342
-0.636000,5.723154
-0.634000,5.851037
-0.632000,5.980288
-0.630000,6.111059
-0.628000,6.243817
-0.626000,6.377289
-0.624000,6.511480
-0.622000,6.645679
-0.620000,6.779715
-0.618000,6.913764
-0.616000,7.048127
-0.614000,7.183090
-0.612000,7.318829
-0.610000,7.455414
-0.608000,7.593673
-0.606000,7.729439
-0.604000,7.862882
-0.602000,7.993660
-0.600000,8.122394
-0.598000,8.249674
-0.596000,8.376163
-0.594000,8.501827
-0.592000,8.628379
-0.590000,8.754079
-0.588000,8.881131
-0.586000,9.009087
-0.584000,9.138955
-0.582000,9.268382
-0.580000,9.398030
-0.578000,9.526620
-0.576000,9.655555
-0.574000,9.783829
-0.572000,9.912722
-0.570000,10.041239
-0.568000,10.171062
-0.566000,10.255606
-0.564000,10.391060
-0.562000,10.531200
-0.560000,10.670857
-0.558000,10.809462
-0.556000,10.948634
-0.554000,11.086926
-0.552000,11.224770
-0.550000,11.361844
-0.548000,11.499729
-0.546000,11.644214
-0.544000,11.801429
-0.542000,11.966204
-0.540000,12.138067
-0.538000,12.315999
-0.536000,12.499499
-0.534000,12.688009
-0.532000,12.881046
-0.530000,13.077937
-0.528000,13.289402
-0.526000,13.494505
-0.524000,13.696980
-0.522000,13.914492
-0.520000,14.036231
-0.518000,14.275645
-0.516000,13.978260
-0.514000,14.228585
-0.512000,14.503740
-0.510000,14.762601
-0.508000,15.015564
-0.506000,15.216200
-0.504000,15.376190
-0.502000,15.511100
-0.500000,15.619379
-0.498000,15.702334
-0.496000,15.761901
-0.494000,15.799159
-0.492000,15.817569
-0.490000,15.841415
-0.488000,15.909400
-0.486000,15.942664
-0.484000,15.928172
-0.482000,15.867749
-0.480000,15.771562
-0.478000,15.643031
-0.476000,15.485235
-0.474000,15.300134
-0.472000,15.088988
-0.470000,14.906989
-0.468000,14.647658
-0.466000,14.335243
-0.464000,13.935467
-0.462000,13.489800
-0.460000,12.964797
-0.458000,12.439753
-0.456000,11.793299
-0.454000,11.154329
-0.452000,10.462045
-0.450000,9.719425
-0.448000,8.922662
-0.446000,7.642207
-0.444000,6.934335
-0.442000,6.180921
-0.440000,5.372405
-0.438000,4.530254
-0.436000,3.641431
-0.434000,2.711609
-0.432000,1.741283
-0.430000,0.736030
-0.428000,-0.318216
-0.426000,-1.409896
-0.424000,-2.550329
-0.422000,-3.736229
-0.420000,-4.952995
-0.418000,-5.634548
-0.416000,-6.275888
-0.414000,-6.992713
-0.412000,-7.711314
-0.410000,-8.448655
-0.408000,-9.377065
-0.406000,-10.125978
-0.404000,-10.631729
-0.402000,-11.411219
-0.400000,-12.083921
-0.398000,-12.715529
-0.396000,-13.324185
-0.394000,-13.902296
-0.392000,-14.460871
-0.390000,-14.957192
-0.388000,-15.423019
-0.386000,-15.682523
-0.384000,-15.904305
-0.382000,-16.170368
-0.380000,-16.473677
-0.378000,-16.808018
-0.376000,-17.134139
-0.374000,-17.426470
-0.372000,-17.692311
-0.370000,-17.944073
-0.368000,-18.191290
-0.366000,-18.100019
-0.364000,-17.825546
-0.362000,-17.569250
-0.360000,-17.457988
-0.358000,-17.441675
-0.356000,-17.369411
-0.354000,-17.185919
