# ankle angle
x,y
-1.280000,-35.287313
-1.278000,-35.036548
-1.276000,-34.468963
-1.274000,-33.897967
-1.272000,-33.344499
-1.270000,-32.867935
-1.268000,-32.425847
-1.266000,-32.038129
-1.264000,-31.663259
-1.262000,-31.313198
-1.260000,-30.977776
-1.258000,-30.671665
-1.256000,-30.395785
-1.254000,-30.139767
-1.252000,-29.915755
-1.250000,-29.709894
-1.248000,-29.543316
-1.246000,-30.391010
-1.244000,-30.278698
-1.242000,-30.002493
-1.240000,-29.976219
-1.238000,-29.861439
-1.236000,-29.926626
-1.234000,-29.885000
-1.232000,-29.952184
-1.230000,-29.935715
-1.228000,-30.000520
-1.226000,-30.006730
-1.224000,-30.069416
-1.222000,-30.106291
-1.220000,-30.185701
-1.218000,-30.254296
-1.216000,-30.355255
-1.214000,-30.452413
-1.212000,-30.574205
-1.210000,-30.690201
-1.208000,-30.837785
-1.206000,-30.985898
-1.204000,-31.160980
-1.202000,-31.341036
-1.200000,-31.542655
-1.198000,-31.748094
-1.196000,-31.710171
-1.194000,-31.654552
-1.192000,-31.620341
-1.190000,-31.585338
-1.188000,-31.567152
-1.186000,-31.557818
-1.184000,-31.595079
-1.182000,-31.646526
-1.180000,-31.719910
-1.178000,-31.793346
-1.176000,-31.903743
-1.174000,-32.032694
-1.172000,-32.192639
-1.170000,-32.369904
-1.168000,-32.531937
-1.166000,-32.674292
-1.164000,-32.811130
-1.162000,-32.945331
-1.160000,-33.084760
-1.158000,-33.225960
-1.156000,-33.356466
-1.154000,-33.495952
-1.152000,-33.572439
-1.150000,-33.638846
-1.148000,-33.730438
-1.146000,-33.840005
-1.144000,-33.969703
-1.142000,-34.105251
-1.140000,-34.306353
-1.138000,-34.466126
-1.136000,-34.627151
-1.134000,-34.945273
-1.132000,-34.990726
-1.130000,-35.136134
-1.128000,-35.370124
-1.126000,-35.547181
-1.124000,-35.670881
-1.122000,-35.768292
-1.120000,-35.867758
-1.118000,-35.772415
-1.116000,-35.695306
-1.114000,-35.566063
-1.112000,-35.425089
-1.110000,-35.465187
-1.108000,-35.327850
-1.106000,-35.121603
-1.104000,-34.923663
-1.102000,-34.706543
-1.100000,-34.479252
-1.098000,-34.247333
-1.096000,-34.021642
-1.094000,-33.800740
-1.092000,-33.588974
-1.090000,-33.415958
-1.088000,-33.279919
-1.086000,-33.132422
-1.084000,-32.989237
-1.082000,-32.849920
-1.080000,-32.714180
-1.078000,-32.581852
-1.076000,-32.453031
-1.074000,-32.327339
-1.072000,-32.204496
-1.070000,-32.085397
-1.068000,-31.964230
-1.066000,-31.840923
-1.064000,-31.717428
-1.062000,-31.594612
-1.060000,-31.465693
-1.058000,-31.346507
-1.056000,-31.229390
-1.054000,-31.114963
-1.052000,-31.000176
-1.050000,-30.884766
-1.048000,-30.779808
-1.046000,-30.677414
-1.044000,-30.569997
-1.042000,-30.473985
-1.040000,-30.380177
-1.038000,-30.288765
-1.036000,-30.197067
-1.034000,-30.106308
-1.032000,-30.021991
-1.030000,-29.938344
-1.028000,-29.855978
-1.026000,-29.947634
-1.024000,-29.875922
-1.022000,-29.807442
-1.020000,-29.739703
-1.018000,-29.674905
-1.016000,-29.717992
-1.014000,-29.651867
-1.012000,-29.587573
-1.010000,-29.527353
-1.008000,-29.462413
-1.006000,-29.399970
-1.004000,-29.337117
-1.002000,-29.276025
-1.000000,-29.214036
-0.998000,-29.154727
-0.996000,-29.094885
-0.994000,-29.036982
-0.992000,-28.980489
-0.990000,-28.929012
-0.988000,-28.877430
-0.986000,-28.829647
-0.984000,-28.782486
-0.982000,-28.739607
-0.980000,-28.698040
-0.978000,-28.660849
-0.976000,-28.624876
-0.974000,-28.592712
-0.972000,-28.561474
-0.970000,-28.535356
-0.968000,-28.502760
-0.966000,-28.468065
-0.964000,-28.431171
-0.962000,-28.394731
-0.960000,-28.357909
-0.958000,-28.322268
-0.956000,-28.286787
-0.954000,-28.252563
-0.952000,-28.218647
-0.950000,-28.186396
-0.948000,-28.152284
-0.946000,-28.118146
-0.944000,-28.083907
-0.942000,-28.050629
-0.940000,-28.017601
-0.938000,-27.985486
-0.936000,-27.953491
-0.934000,-27.922120
-0.932000,-27.890581
-0.930000,-27.859659
-0.928000,-27.828096
-0.926000,-27.796996
-0.924000,-27.765790
-0.922000,-27.735098
-0.920000,-27.703655
-0.918000,-27.672461
-0.916000,-27.640793
-0.914000,-27.608942
-0.912000,-27.576452
-0.910000,-27.544820
-0.908000,-27.510941
-0.906000,-27.475907
-0.904000,-27.439520
-0.902000,-27.402290
-0.900000,-27.363736
-0.898000,-27.324043
-0.896000,-27.282883
-0.894000,-27.240778
-0.892000,-27.197630
-0.890000,-27.152545
-0.888000,-27.109568
-0.886000,-27.068047
-0.884000,-27.025612
-0.882000,-26.982027
-0.880000,-26.935768
-0.878000,-26.887532
-0.876000,-26.836364
-0.874000,-26.783240
-0.872000,-26.727198
-0.870000,-26.669418
-0.868000,-26.609827
-0.866000,-26.548739
-0.864000,-26.484590
-0.862000,-26.417730
-0.860000,-26.347063
-0.858000,-26.273280
-0.856000,-26.195770
-0.854000,-26.115319
-0.852000,-26.031467
-0.850000,-25.945686
-0.848000,-25.857060
-0.846000,-25.766592
-0.844000,-25.673346
-0.842000,-25.577466
-0.840000,-25.478088
-0.838000,-25.375859
-0.836000,-25.270327
-0.834000,-25.162089
-0.832000,-25.050876
-0.830000,-24.936261
-0.828000,-24.820425
-0.826000,-24.703581
-0.824000,-24.584747
-0.822000,-24.463375
-0.820000,-24.338802
-0.818000,-24.211446
-0.816000,-24.081381
-0.814000,-23.949112
-0.812000,-23.814678
-0.810000,-23.679546
-0.808000,-23.544189
-0.806000,-23.409457
-0.804000,-23.274805
-0.802000,-23.139514
-0.800000,-23.002103
-0.798000,-22.862272
-0.796000,-22.720394
