# ankle angle
x,y
-1.404000,-12.547823
-1.402000,-12.261124
-1.400000,-11.954684
-1.398000,-11.681337
-1.396000,-11.417787
-1.394000,-11.169049
-1.392000,-10.828830
-1.390000,-10.594829
-1.388000,-10.360283
-1.386000,-10.134995
-1.384000,-9.914370
-1.382000,-9.699851
-1.380000,-9.490160
-1.378000,-9.284988
-1.376000,-9.083679
-1.374000,-8.886370
-1.372000,-8.693614
-1.370000,-8.503674
-1.368000,-8.317642
-1.366000,-8.134822
-1.364000,-7.956123
-1.362000,-7.779122
-1.360000,-7.603466
-1.358000,-7.429862
-1.356000,-7.257638
-1.354000,-7.084938
-1.352000,-6.915769
-1.350000,-6.748417
-1.348000,-6.584734
-1.346000,-6.424945
-1.344000,-6.269213
-1.342000,-6.117641
-1.340000,-5.968894
-1.338000,-5.822585
-1.336000,-5.678380
-1.334000,-5.535056
-1.332000,-5.394437
-1.330000,-5.256066
-1.328000,-5.120134
-1.326000,-4.986397
-1.324000,-4.854875
-1.322000,-4.725234
-1.320000,-4.597297
-1.318000,-4.470873
-1.316000,-4.345858
-1.314000,-4.221404
-1.312000,-4.097651
-1.310000,-3.974351
-1.308000,-3.851633
-1.306000,-3.729312
-1.304000,-3.607418
-1.302000,-3.485685
-1.300000,-3.364239
-1.298000,-3.242898
-1.296000,-3.121720
-1.294000,-3.000277
-1.292000,-2.882133
-1.290000,-2.766907
-1.288000,-2.654282
-1.286000,-2.543736
-1.284000,-2.434595
-1.282000,-2.326559
-1.280000,-2.219294
-1.278000,-2.112637
-1.276000,-2.006346
-1.274000,-1.900124
-1.272000,-1.791762
-1.270000,-1.681696
-1.268000,-1.570858
-1.266000,-1.459505
-1.264000,-1.348140
-1.262000,-1.236693
-1.260000,-1.125480
-1.258000,-1.014344
-1.256000,-0.903316
-1.254000,-0.791717
-1.252000,-0.679551
-1.250000,-0.567055
-1.248000,-0.454638
-1.246000,-0.342596
-1.244000,-0.231076
-1.242000,-0.120165
-1.240000,-0.009787
-1.238000,0.100056
-1.236000,0.209503
-1.234000,0.314998
-1.232000,0.491175
-1.230000,0.596598
-1.228000,0.708728
-1.226000,0.819754
-1.224000,0.930611
-1.222000,1.040245
-1.220000,1.148622
-1.218000,1.256369
-1.216000,1.362941
-1.214000,1.466444
-1.212000,1.564140
-1.210000,1.654710
-1.208000,1.740171
-1.206000,1.819881
-1.204000,1.894969
-1.202000,1.965281
-1.200000,2.031902
-1.198000,2.094576
-1.196000,2.154495
-1.194000,2.211542
-1.192000,2.270047
-1.190000,2.328359
-1.188000,2.385211
-1.186000,2.437466
