# sway_Torso_X
x,y
-1.206000,0.008573
-1.204000,0.008339
-1.202000,0.008133
-1.200000,0.007950
-1.198000,0.007787
-1.196000,0.007637
-1.194000,0.007498
-1.192000,0.007446
-1.190000,0.007423
-1.188000,0.007405
-1.186000,0.007345
-1.184000,0.007301
-1.182000,0.007285
-1.180000,0.007259
-1.178000,0.007241
-1.176000,0.007209
-1.174000,0.007173
-1.172000,0.007125
-1.170000,0.007072
-1.168000,0.007008
-1.166000,0.006947
-1.164000,0.006847
-1.162000,0.006711
-1.160000,0.006534
-1.158000,0.006331
-1.156000,0.006102
-1.154000,0.005869
-1.152000,0.005616
-1.150000,0.005362
-1.148000,0.005095
-1.146000,0.004828
-1.144000,0.004551
-1.142000,0.004267
-1.140000,0.003968
-1.138000,0.003661
-1.136000,0.003340
-1.134000,0.003012
-1.132000,0.002679
-1.130000,0.002355
-1.128000,0.002019
-1.126000,0.001678
-1.124000,0.001333
-1.122000,0.001000
-1.120000,0.000663
-1.118000,0.000323
-1.116000,-0.000012
-1.114000,-0.000345
-1.112000,-0.000682
-1.110000,-0.001015
-1.108000,-0.001353
-1.106000,-0.001681
-1.104000,-0.002013
-1.102000,-0.002338
-1.100000,-0.002669
-1.098000,-0.002996
-1.096000,-0.003323
-1.094000,-0.003645
-1.092000,-0.003970
-1.090000,-0.004295
-1.088000,-0.004626
-1.086000,-0.004952
-1.084000,-0.005293
-1.082000,-0.005632
-1.080000,-0.005985
-1.078000,-0.006341
-1.076000,-0.006713
-1.074000,-0.007086
-1.072000,-0.007473
-1.070000,-0.007861
-1.068000,-0.008262
-1.066000,-0.008664
-1.064000,-0.009080
-1.062000,-0.009505
-1.060000,-0.009939
-1.058000,-0.010354
-1.056000,-0.010778
-1.054000,-0.011188
-1.052000,-0.011617
-1.050000,-0.012027
-1.048000,-0.012427
-1.046000,-0.012800
-1.044000,-0.013103
-1.042000,-0.013365
-1.040000,-0.013636
-1.038000,-0.013884
-1.036000,-0.014135
-1.034000,-0.014363
-1.032000,-0.014590
-1.030000,-0.014795
-1.028000,-0.015004
-1.026000,-0.015198
-1.024000,-0.015473
-1.022000,-0.015798
-1.020000,-0.016143
-1.018000,-0.016494
-1.016000,-0.016836
-1.014000,-0.017170
-1.012000,-0.017493
-1.010000,-0.017806
-1.008000,-0.018095
-1.006000,-0.018383
-1.004000,-0.018649
-1.002000,-0.018933
-1.000000,-0.019170
-0.998000,-0.019413
-0.996000,-0.019640
-0.994000,-0.019857
-0.992000,-0.020060
-0.990000,-0.020250
-0.988000,-0.020428
-0.986000,-0.020598
-0.984000,-0.020750
-0.982000,-0.020891
-0.980000,-0.021022
-0.978000,-0.021142
-0.976000,-0.021254
-0.974000,-0.021358
-0.972000,-0.021456
-0.970000,-0.021550
-0.968000,-0.021640
-0.966000,-0.021727
-0.964000,-0.021814
-0.962000,-0.021907
-0.960000,-0.022002
-0.958000,-0.022099
-0.956000,-0.022194
-0.954000,-0.022287
-0.952000,-0.022377
-0.950000,-0.022462
-0.948000,-0.022544
-0.946000,-0.022624
-0.944000,-0.022708
-0.942000,-0.022795
-0.940000,-0.022886
-0.938000,-0.022975
-0.936000,-0.023055
-0.934000,-0.023122
-0.932000,-0.023177
-0.930000,-0.023223
-0.928000,-0.023255
-0.926000,-0.023278
-0.924000,-0.023293
-0.922000,-0.023308
-0.920000,-0.023319
-0.918000,-0.023326
-0.916000,-0.023326
-0.914000,-0.023320
-0.912000,-0.023308
-0.910000,-0.023291
-0.908000,-0.023267
-0.906000,-0.023240
-0.904000,-0.023210
-0.902000,-0.023187
-0.900000,-0.023168
-0.898000,-0.023151
-0.896000,-0.023133
-0.894000,-0.023110
-0.892000,-0.023083
-0.890000,-0.023013
-0.888000,-0.022947
-0.886000,-0.022898
-0.884000,-0.022850
-0.882000,-0.022811
-0.880000,-0.022775
-0.878000,-0.022736
-0.876000,-0.022693
-0.874000,-0.022656
-0.872000,-0.022605
-0.870000,-0.022567
-0.868000,-0.022513
-0.866000,-0.022457
-0.864000,-0.022397
-0.862000,-0.022343
-0.860000,-0.022291
-0.858000,-0.022239
-0.856000,-0.022183
-0.854000,-0.022121
-0.852000,-0.022051
-0.850000,-0.021988
-0.848000,-0.021919
-0.846000,-0.021838
-0.844000,-0.021775
-0.842000,-0.021686
-0.840000,-0.021603
-0.838000,-0.021525
-0.836000,-0.021444
-0.834000,-0.021344
-0.832000,-0.021240
-0.830000,-0.021130
-0.828000,-0.021027
-0.826000,-0.020910
-0.824000,-0.020793
-0.822000,-0.020686
-0.820000,-0.020588
-0.818000,-0.020491
-0.816000,-0.020393
-0.814000,-0.020286
-0.812000,-0.020170
-0.810000,-0.020045
-0.808000,-0.019911
-0.806000,-0.019769
-0.804000,-0.019622
-0.802000,-0.019480
-0.800000,-0.019341
-0.798000,-0.019203
-0.796000,-0.019060
-0.794000,-0.018910
-0.792000,-0.018748
-0.790000,-0.018580
-0.788000,-0.018402
-0.786000,-0.018216
-0.784000,-0.018019
-0.782000,-0.017817
-0.780000,-0.017611
-0.778000,-0.017402
-0.776000,-0.017191
-0.774000,-0.016973
-0.772000,-0.016749
-0.770000,-0.016518
-0.768000,-0.016289
-0.766000,-0.016050
-0.764000,-0.015801
-0.762000,-0.015545
-0.760000,-0.015284
-0.758000,-0.015027
-0.756000,-0.014772
-0.754000,-0.014516
-0.752000,-0.014259
-0.750000,-0.014000
-0.748000,-0.013745
-0.746000,-0.013484
-0.744000,-0.013216
-0.742000,-0.012941
-0.740000,-0.012662
-0.738000,-0.012383
-0.736000,-0.012104
-0.734000,-0.011821
-0.732000,-0.011544
-0.730000,-0.011257
-0.728000,-0.010967
-0.726000,-0.010674
-0.724000,-0.010377
-0.722000,-0.010071
-0.720000,-0.009759
-0.718000,-0.009446
-0.716000,-0.009134
-0.714000,-0.008823
-0.712000,-0.008510
-0.710000,-0.008188
-0.708000,-0.007881
-0.706000,-0.007566
-0.704000,-0.007246
-0.702000,-0.006923
-0.700000,-0.006600
-0.698000,-0.006278
-0.696000,-0.005958
-0.694000,-0.005638
-0.692000,-0.005316
-0.690000,-0.004994
-0.688000,-0.004672
-0.686000,-0.004352
-0.684000,-0.004030
-0.682000,-0.003706
-0.680000,-0.003381
-0.678000,-0.003053
-0.676000,-0.002721
-0.674000,-0.002388
-0.672000,-0.002055
-0.670000,-0.001722
-0.668000,-0.001390
-0.666000,-0.001044
-0.664000,-0.000728
-0.662000,-0.000399
-0.660000,-0.000069
-0.658000,0.000259
-0.656000,0.000585
-0.654000,0.000906
-0.652000,0.001221
-0.650000,0.001528
-0.648000,0.001829
-0.646000,0.002124
-0.644000,0.002420
-0.642000,0.002719
-0.640000,0.003019
-0.638000,0.003320
-0.636000,0.003623
-0.634000,0.003926
-0.632000,0.004231
-0.630000,0.004536
-0.628000,0.004843
-0.626000,0.005151
-0.624000,0.005408
-0.622000,0.005683
-0.620000,0.005930
-0.618000,0.006189
-0.616000,0.006423
-0.614000,0.006642
-0.612000,0.006844
-0.610000,0.007018
-0.608000,0.007184
-0.606000,0.007323
-0.604000,0.007456
-0.602000,0.007563
-0.600000,0.007659
-0.598000,0.007664
-0.596000,0.007646
-0.594000,0.007626
-0.592000,0.007607
-0.590000,0.007594
-0.588000,0.007579
-0.586000,0.007570
-0.584000,0.007563
-0.582000,0.007592
-0.580000,0.007645
-0.578000,0.007712
-0.576000,0.007793
-0.574000,0.007880
-0.572000,0.007977
-0.570000,0.008076
-0.568000,0.008184
-0.566000,0.008288
-0.564000,0.008401
-0.562000,0.008513
-0.560000,0.008637
-0.558000,0.008759
-0.556000,0.008919
-0.554000,0.009049
-0.552000,0.009189
-0.550000,0.009323
-0.548000,0.009460
-0.546000,0.009596
-0.544000,0.009740
-0.542000,0.009888
-0.540000,0.010042
-0.538000,0.010202
-0.536000,0.010364
-0.534000,0.010528
-0.532000,0.010691
-0.530000,0.010855
-0.528000,0.011017
-0.526000,0.011180
-0.524000,0.011343
-0.522000,0.011505
-0.520000,0.011670
-0.518000,0.011836
-0.516000,0.012006
-0.514000,0.012182
-0.512000,0.012354
-0.510000,0.012525
-0.508000,0.012704
-0.506000,0.012896
-0.504000,0.013087
-0.502000,0.013284
-0.500000,0.013482
-0.498000,0.013688
-0.496000,0.013896
-0.494000,0.014098
-0.492000,0.014307
-0.490000,0.014518
-0.488000,0.014725
-0.486000,0.014929
-0.484000,0.015136
-0.482000,0.015344
-0.480000,0.015556
-0.478000,0.015725
-0.476000,0.015915
-0.474000,0.016099
-0.472000,0.016292
-0.470000,0.016485
-0.468000,0.016684
-0.466000,0.016875
-0.464000,0.017087
-0.462000,0.017322
-0.460000,0.017546
-0.458000,0.017778
-0.456000,0.018017
-0.454000,0.018260
-0.452000,0.018510
-0.450000,0.018766
-0.448000,0.019031
-0.446000,0.019304
-0.444000,0.019544
-0.442000,0.019718
-0.440000,0.019917
-0.438000,0.020071
-0.436000,0.020242
-0.434000,0.020377
-0.432000,0.020512
-0.430000,0.020615
-0.428000,0.020712
-0.426000,0.020779
-0.424000,0.020947
-0.422000,0.021189
-0.420000,0.021482
-0.418000,0.021818
-0.416000,0.022143
-0.414000,0.022471
-0.412000,0.022797
-0.410000,0.023112
-0.408000,0.023424
-0.406000,0.023740
-0.404000,0.024017
-0.402000,0.024303
-0.400000,0.024579
-0.398000,0.024854
-0.396000,0.025121
-0.394000,0.025381
-0.392000,0.025632
-0.390000,0.025876
-0.388000,0.026113
-0.386000,0.026344
-0.384000,0.026564
-0.382000,0.026769
-0.380000,0.026959
-0.378000,0.027139
-0.376000,0.027309
-0.374000,0.027472
-0.372000,0.027628
-0.370000,0.027777
-0.368000,0.027921
-0.366000,0.028061
-0.364000,0.028200
-0.362000,0.028340
-0.360000,0.028475
-0.358000,0.028610
-0.356000,0.028734
-0.354000,0.028842
-0.352000,0.028942
-0.350000,0.029030
-0.348000,0.029058
-0.346000,0.029105
-0.344000,0.029145
-0.342000,0.029188
-0.340000,0.029236
-0.338000,0.029281
-0.336000,0.029324
-0.334000,0.029363
-0.332000,0.029401
-0.330000,0.029436
-0.328000,0.029470
-0.326000,0.029503
-0.324000,0.029532
-0.322000,0.029571
-0.320000,0.029615
-0.318000,0.029660
-0.316000,0.029697
-0.314000,0.029753
-0.312000,0.029791
-0.310000,0.029827
-0.308000,0.029860
-0.306000,0.029892
-0.304000,0.029926
-0.302000,0.029971
-0.300000,0.030024
-0.298000,0.030078
-0.296000,0.030132
-0.294000,0.030182
-0.292000,0.030227
-0.290000,0.030268
-0.288000,0.030303
-0.286000,0.030335
-0.284000,0.030370
-0.282000,0.030416
-0.280000,0.030470
-0.278000,0.030526
-0.276000,0.030579
-0.274000,0.030625
-0.272000,0.030665
-0.270000,0.030699
-0.268000,0.030728
-0.266000,0.030751
-0.264000,0.030773
-0.262000,0.030804
-0.260000,0.030840
-0.258000,0.030875
-0.256000,0.030902
-0.254000,0.030933
-0.252000,0.030948
-0.250000,0.030955
-0.248000,0.030954
-0.246000,0.030946
-0.244000,0.030935
-0.242000,0.030936
-0.240000,0.030944
-0.238000,0.030952
-0.236000,0.030958
-0.234000,0.030975
-0.232000,0.030969
-0.230000,0.030963
-0.228000,0.030937
-0.226000,0.030904
-0.224000,0.030860
-0.222000,0.030821
-0.220000,0.030784
-0.218000,0.030758
-0.216000,0.030743
-0.214000,0.030704
-0.212000,0.030649
-0.210000,0.030584
-0.208000,0.030510
-0.206000,0.030427
-0.204000,0.030334
-0.202000,0.030241
-0.200000,0.030148
-0.198000,0.030053
-0.196000,0.029954
-0.194000,0.029848
-0.192000,0.029734
-0.190000,0.029613
-0.188000,0.029487
-0.186000,0.029357
-0.184000,0.029217
-0.182000,0.029072
-0.180000,0.028925
-0.178000,0.028775
-0.176000,0.028623
-0.174000,0.028468
-0.172000,0.028311
-0.170000,0.028150
-0.168000,0.027987
-0.166000,0.027822
-0.164000,0.027650
-0.162000,0.027474
-0.160000,0.027295
-0.158000,0.027116
-0.156000,0.026937
-0.154000,0.026759
-0.152000,0.026580
-0.150000,0.026397
-0.148000,0.026212
-0.146000,0.026026
-0.144000,0.025834
-0.142000,0.025634
-0.140000,0.025430
-0.138000,0.025222
-0.136000,0.025028
-0.134000,0.024829
-0.132000,0.024629
-0.130000,0.024426
-0.128000,0.024219
-0.126000,0.024011
-0.124000,0.023796
-0.122000,0.023575
-0.120000,0.023352
-0.118000,0.023126
-0.116000,0.022899
-0.114000,0.022672
-0.112000,0.022441
-0.110000,0.022225
-0.108000,0.021999
-0.106000,0.021771
-0.104000,0.021537
-0.102000,0.021295
-0.100000,0.021047
-0.098000,0.020799
-0.096000,0.020550
-0.094000,0.020302
-0.092000,0.020055
-0.090000,0.019809
-0.088000,0.019563
-0.086000,0.019316
-0.084000,0.019071
-0.082000,0.018818
-0.080000,0.018564
-0.078000,0.018302
-0.076000,0.018059
-0.074000,0.017809
-0.072000,0.017559
-0.070000,0.017309
-0.068000,0.017060
-0.066000,0.016809
-0.064000,0.016560
-0.062000,0.016307
-0.060000,0.016051
-0.058000,0.015797
-0.056000,0.015545
-0.054000,0.015295
-0.052000,0.015048
-0.050000,0.014801
-0.048000,0.014557
-0.046000,0.014311
-0.044000,0.014066
-0.042000,0.013814
-0.040000,0.013560
-0.038000,0.013302
-0.036000,0.013044
-0.034000,0.012785
-0.032000,0.012526
-0.030000,0.012265
-0.028000,0.012003
-0.026000,0.011737
-0.024000,0.011468
-0.022000,0.011189
-0.020000,0.010901
-0.018000,0.010604
-0.016000,0.010302
-0.014000,0.009995
-0.012000,0.009686
-0.010000,0.009374
-0.008000,0.009051
-0.006000,0.008794
-0.004000,0.008516
-0.002000,0.008289
-0.000000,0.008053
