# sway_Torso_X
x,y
-0.000000,-0.004614
-0.002000,-0.004689
-0.004000,-0.004780
-0.006000,-0.004856
-0.008000,-0.004948
-0.010000,-0.005025
-0.012000,-0.005117
-0.014000,-0.005194
-0.016000,-0.005286
-0.018000,-0.005361
-0.020000,-0.005451
-0.022000,-0.005525
-0.024000,-0.005613
-0.026000,-0.005686
-0.028000,-0.005773
-0.030000,-0.005844
-0.032000,-0.005892
-0.034000,-0.005924
-0.036000,-0.005954
-0.038000,-0.005962
-0.040000,-0.005981
-0.042000,-0.005985
-0.044000,-0.006005
-0.046000,-0.006010
-0.048000,-0.006030
-0.050000,-0.006037
-0.052000,-0.006088
-0.054000,-0.006168
-0.056000,-0.006291
-0.058000,-0.006435
-0.060000,-0.006594
-0.062000,-0.006764
-0.064000,-0.006942
-0.066000,-0.007127
-0.068000,-0.007318
-0.070000,-0.007511
-0.072000,-0.007703
-0.074000,-0.007886
-0.076000,-0.008067
-0.078000,-0.008246
-0.080000,-0.008422
-0.082000,-0.008596
-0.084000,-0.008763
-0.086000,-0.008922
-0.088000,-0.009071
-0.090000,-0.009210
-0.092000,-0.009352
-0.094000,-0.009523
-0.096000,-0.009659
-0.098000,-0.009786
-0.100000,-0.009902
-0.102000,-0.010008
-0.104000,-0.010106
-0.106000,-0.010192
-0.108000,-0.010267
-0.110000,-0.010320
-0.112000,-0.010372
-0.114000,-0.010430
-0.116000,-0.010486
-0.118000,-0.010539
-0.120000,-0.010582
-0.122000,-0.010612
-0.124000,-0.010627
-0.126000,-0.010627
-0.128000,-0.010614
-0.130000,-0.010590
-0.132000,-0.010562
-0.134000,-0.010542
-0.136000,-0.010546
-0.138000,-0.010545
-0.140000,-0.010538
-0.142000,-0.010524
-0.144000,-0.010501
-0.146000,-0.010469
-0.148000,-0.010429
-0.150000,-0.010382
-0.152000,-0.010339
-0.154000,-0.010316
-0.156000,-0.010300
-0.158000,-0.010293
-0.160000,-0.010288
-0.162000,-0.010280
-0.164000,-0.010266
-0.166000,-0.010243
-0.168000,-0.010209
-0.170000,-0.010167
-0.172000,-0.010129
-0.174000,-0.010105
-0.176000,-0.010089
-0.178000,-0.010115
-0.180000,-0.010109
-0.182000,-0.010095
-0.184000,-0.010071
-0.186000,-0.010037
-0.188000,-0.009993
-0.190000,-0.009941
-0.192000,-0.009886
-0.194000,-0.009849
-0.196000,-0.009817
-0.198000,-0.009790
-0.200000,-0.009762
-0.202000,-0.009728
-0.204000,-0.009687
-0.206000,-0.009638
-0.208000,-0.009584
-0.210000,-0.009525
-0.212000,-0.009458
-0.214000,-0.009386
-0.216000,-0.009315
-0.218000,-0.009238
-0.220000,-0.009164
-0.222000,-0.009090
-0.224000,-0.009014
-0.226000,-0.008935
-0.228000,-0.008859
-0.230000,-0.008803
-0.232000,-0.008743
-0.234000,-0.008634
-0.236000,-0.008528
-0.238000,-0.008405
-0.240000,-0.008292
-0.242000,-0.008180
-0.244000,-0.008067
-0.246000,-0.007983
-0.248000,-0.007896
-0.250000,-0.007800
-0.252000,-0.007703
-0.254000,-0.007603
-0.256000,-0.007504
-0.258000,-0.007408
-0.260000,-0.007318
-0.262000,-0.007231
-0.264000,-0.007151
-0.266000,-0.007073
-0.268000,-0.006999
-0.270000,-0.006928
-0.272000,-0.006853
-0.274000,-0.006779
-0.276000,-0.006708
-0.278000,-0.006643
-0.280000,-0.006583
-0.282000,-0.006506
-0.284000,-0.006463
-0.286000,-0.006422
-0.288000,-0.006383
